"在 2012-1-25 的竞赛"

"名称：Dinic1"
总得分：400
有效用时：6.98



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.01
8,正确,10,0.03
9,正确,10,0.03
10,正确,10,0.01

总分：100
有效用时：0.14



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.03
3,正确,10,0.04
4,正确,10,0.07
5,正确,10,0.12
6,正确,10,0.17
7,正确,10,0.21
8,正确,10,0.28
9,正确,10,0.32
10,正确,10,0.43

总分：100
有效用时：1.68



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.03
5,正确,10,0.03
6,正确,10,0.01
7,正确,10,0.03
8,正确,10,0.03
9,正确,10,0.03
10,正确,10,0.04

总分：100
有效用时：0.25



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.09
2,正确,10,0.15
3,正确,10,0.23
4,正确,10,0.53
5,正确,10,0.62
6,正确,10,0.62
7,正确,10,0.53
8,正确,10,0.82
9,正确,10,0.71
10,正确,10,0.60

总分：100
有效用时：4.90



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,0,0.01

总分：0
有效用时：0.01

" 2012-1-29 18:52:08"
