"在 2012-1-25 的竞赛"

"名称：DistanceLabell(No gap)"
总得分：310
有效用时：8.86



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.01
3,正确,10,0.03
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.03
7,正确,10,0.01
8,正确,10,1.59
9,正确,10,0.01
10,正确,10,0.01

总分：100
有效用时：1.74



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.32
3,正确,10,1.37
4,正确,10,0.10
5,正确,10,0.15
6,超时,0,2.16
7,正确,10,0.29
8,正确,10,0.37
9,正确,10,0.46
10,超时,0,2.11

总分：80
有效用时：3.09



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.03
4,正确,10,0.03
5,正确,10,0.39
6,正确,10,0.42
7,正确,10,0.03
8,正确,10,0.01
9,正确,10,0.03
10,正确,10,1.85

总分：100
有效用时：2.81



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,超时,0,2.03
2,正确,10,0.14
3,超时,0,2.02
4,超时,0,2.02
5,超时,0,2.19
6,超时,0,2.02
7,正确,10,0.48
8,超时,0,2.03
9,超时,0,2.05
10,正确,10,0.59

总分：30
有效用时：1.21



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,0,0.01

总分：0
有效用时：0.01

" 2012-1-29 18:52:08"
