"在 2012-1-25 的竞赛"

"名称：HLPPbyWisdom"
总得分：310
有效用时：2.25



"标题：ditch"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.04
3,正确,10,0.01
4,正确,10,0.04
5,正确,10,0.03
6,正确,10,0.04
7,正确,10,0.09
8,正确,10,0.03
9,正确,10,0.04
10,正确,10,0.04

总分：100
有效用时：0.37



"标题：ditch_稠密图"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.04
3,正确,10,0.07
4,正确,10,0.06
5,正确,10,0.10
6,正确,10,0.12
7,正确,10,0.18
8,正确,10,0.21
9,正确,10,0.31
10,正确,10,0.34

总分：100
有效用时：1.44



"标题：ditch_稀疏图"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.03
3,正确,10,0.03
4,正确,10,0.03
5,正确,10,0.03
6,正确,10,0.04
7,正确,10,0.03
8,正确,10,0.06
9,正确,10,0.04
10,正确,10,0.03

总分：100
有效用时：0.35



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.09
2,崩溃,0,0.20
3,崩溃,0,0.35
4,崩溃,0,0.01
5,崩溃,0,0.03
6,崩溃,0,0.03
7,崩溃,0,0.03
8,崩溃,0,0.03
9,崩溃,0,0.03
10,崩溃,0,0.03

总分：10
有效用时：0.09



"标题：small"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时

总分：0
有效用时：0.00

" 2012-1-29 18:52:08"
