"在 2012-1-25 的竞赛"

"名称：RelabelToFront(GapHeuristic+InitLabel)"
总得分：320
有效用时：3.51



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.20
8,正确,10,0.12
9,正确,10,0.01
10,正确,10,0.01

总分：100
有效用时：0.40



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.03
3,正确,10,0.06
4,正确,10,0.07
5,正确,10,0.14
6,正确,10,0.21
7,正确,10,0.25
8,正确,10,0.29
9,正确,10,0.42
10,正确,10,0.57

总分：100
有效用时：2.05



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.03
6,正确,10,0.03
7,正确,10,0.03
8,正确,10,0.03
9,正确,10,0.04
10,正确,10,0.09

总分：100
有效用时：0.29



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.25
2,正确,10,0.51
3,超时,0,2.02
4,超时,0,2.02
5,超时,0,2.20
6,超时,0,2.02
7,超时,0,2.02
8,超时,0,2.19
9,超时,0,2.03
10,超时,0,2.03

总分：20
有效用时：0.76



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,0,0.01

总分：0
有效用时：0.01

" 2012-1-29 18:52:08"
