"在 2012-1-25 的竞赛"

"名称：SAP_pas(邻接矩阵)"
总得分：310
有效用时：2.18



"标题：ditch"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.07
8,正确,10,0.07
9,正确,10,0.01
10,正确,10,0.01

总分：100
有效用时：0.22



"标题：ditch_稠密图"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.03
3,正确,10,0.04
4,正确,10,0.07
5,正确,10,0.09
6,正确,10,0.15
7,正确,10,0.20
8,正确,10,0.25
9,正确,10,0.28
10,正确,10,0.39

总分：100
有效用时：1.51



"标题：ditch_稀疏图"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.03
3,正确,10,0.03
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.04
7,正确,10,0.03
8,正确,10,0.04
9,正确,10,0.04
10,正确,10,0.06

总分：100
有效用时：0.32



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.10
2,崩溃,0,0.01
3,崩溃,0,0.01
4,崩溃,0,0.01
5,崩溃,0,0.01
6,崩溃,0,0.03
7,崩溃,0,0.03
8,崩溃,0,0.01
9,崩溃,0,0.01
10,崩溃,0,0.01

总分：10
有效用时：0.10



"标题：small"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,0,0.03

总分：0
有效用时：0.03

" 2012-1-29 18:52:08"
