"在 2012-1-25 的竞赛"

"名称：empty"
总得分：0
有效用时：0.00



"标题：ditch"
"文件名："

编号,结果,得分,有效用时
1,无程序,0,0.00
2,无程序,0,0.00
3,无程序,0,0.00
4,无程序,0,0.00
5,无程序,0,0.00
6,无程序,0,0.00
7,无程序,0,0.00
8,无程序,0,0.00
9,无程序,0,0.00
10,无程序,0,0.00

总分：0
有效用时：0.00



"标题：ditch_稠密图"
"文件名："

编号,结果,得分,有效用时
1,无程序,0,0.00
2,无程序,0,0.00
3,无程序,0,0.00
4,无程序,0,0.00
5,无程序,0,0.00
6,无程序,0,0.00
7,无程序,0,0.00
8,无程序,0,0.00
9,无程序,0,0.00
10,无程序,0,0.00

总分：0
有效用时：0.00



"标题：ditch_稀疏图"
"文件名："

编号,结果,得分,有效用时
1,无程序,0,0.00
2,无程序,0,0.00
3,无程序,0,0.00
4,无程序,0,0.00
5,无程序,0,0.00
6,无程序,0,0.00
7,无程序,0,0.00
8,无程序,0,0.00
9,无程序,0,0.00
10,无程序,0,0.00

总分：0
有效用时：0.00



"标题：ditch_稀疏图big"
"文件名："

编号,结果,得分,有效用时
1,无程序,0,0.00
2,无程序,0,0.00
3,无程序,0,0.00
4,无程序,0,0.00
5,无程序,0,0.00
6,无程序,0,0.00
7,无程序,0,0.00
8,无程序,0,0.00
9,无程序,0,0.00
10,无程序,0,0.00

总分：0
有效用时：0.00



"标题：small"
"文件名："

编号,结果,得分,有效用时

总分：0
有效用时：0.00

" 2012-1-29 18:52:08"
