"在 2012-1-25 的竞赛"

"名称：greedy"
总得分：380
有效用时：3.75



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,错误的答案,0,0.01
3,正确,10,0.01
4,错误的答案,0,0.01
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.01
8,正确,10,0.03
9,正确,10,0.03
10,正确,10,0.03

总分：80
有效用时：0.14



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.03
4,正确,10,0.06
5,正确,10,0.09
6,正确,10,0.10
7,正确,10,0.14
8,正确,10,0.20
9,正确,10,0.26
10,正确,10,0.29

总分：100
有效用时：1.19



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.03
7,正确,10,0.01
8,正确,10,0.03
9,正确,10,0.03
10,正确,10,0.03

总分：100
有效用时：0.18



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.06
2,正确,10,0.09
3,正确,10,0.12
4,正确,10,0.21
5,正确,10,0.26
6,正确,10,0.28
7,正确,10,0.29
8,正确,10,0.31
9,正确,10,0.31
10,正确,10,0.31

总分：100
有效用时：2.24



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,错误的答案,0,0.01

总分：0
有效用时：0.00

" 2012-1-29 18:52:08"
