"在 2012-1-25 的竞赛"

"名称：hqz_Push-Relabel(No gap)"
总得分：310
有效用时：8.50



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.03
5,正确,10,0.03
6,正确,10,0.03
7,正确,10,0.01
8,正确,10,1.87
9,正确,10,0.03
10,正确,10,0.01

总分：100
有效用时：2.06



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.04
2,正确,10,0.20
3,正确,10,0.73
4,正确,10,0.09
5,正确,10,0.10
6,超时,0,2.16
7,正确,10,0.18
8,正确,10,0.29
9,正确,10,0.39
10,超时,0,2.11

总分：80
有效用时：2.02



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.40
6,正确,10,0.43
7,正确,10,0.01
8,正确,10,0.01
9,正确,10,0.04
10,正确,10,1.57

总分：100
有效用时：2.50



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,超时,0,2.13
2,正确,10,0.17
3,超时,0,2.02
4,超时,0,2.14
5,超时,0,2.17
6,超时,0,2.14
7,正确,10,0.76
8,超时,0,2.17
9,超时,0,2.02
10,正确,10,0.98

总分：30
有效用时：1.91



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,0,0.01

总分：0
有效用时：0.01

" 2012-1-29 18:52:08"
