"在 2012-1-25 的竞赛"

"名称：hqz_Push-Relabel+gap"
总得分：400
有效用时：6.84



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.01
8,正确,10,0.03
9,正确,10,0.01
10,正确,10,0.01

总分：100
有效用时：0.12



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.03
3,正确,10,0.06
4,正确,10,0.07
5,正确,10,0.09
6,正确,10,0.15
7,正确,10,0.21
8,正确,10,0.26
9,正确,10,0.34
10,正确,10,0.40

总分：100
有效用时：1.62



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.03
8,正确,10,0.03
9,正确,10,0.03
10,正确,10,0.04

总分：100
有效用时：0.19



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.07
2,正确,10,0.15
3,正确,10,0.23
4,正确,10,0.46
5,正确,10,0.57
6,正确,10,0.65
7,正确,10,0.64
8,正确,10,0.70
9,正确,10,0.68
10,正确,10,0.75

总分：100
有效用时：4.90



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,0,0.01

总分：0
有效用时：0.01

" 2012-1-29 18:52:08"
