"在 2012-1-25 的竞赛"

"名称：hqz_RelabelToFront(No gap)"
总得分：260
有效用时：4.41



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.03
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.06
6,正确,10,0.03
7,正确,10,0.20
8,超时,0,2.03
9,正确,10,0.06
10,正确,10,0.03

总分：90
有效用时：0.44



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.23
3,正确,10,0.76
4,正确,10,0.06
5,正确,10,0.12
6,超时,0,2.02
7,正确,10,0.18
8,正确,10,0.25
9,正确,10,0.31
10,超时,0,2.20

总分：80
有效用时：1.94



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,1.39
6,超时,0,2.05
7,正确,10,0.03
8,正确,10,0.04
9,正确,10,0.06
10,超时,0,2.05

总分：80
有效用时：1.56



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,超时,0,2.06
2,正确,10,0.46
3,超时,0,2.03
4,超时,0,2.03
5,超时,0,2.05
6,正常,0,0.06
7,超时,0,2.20
8,超时,0,2.03
9,超时,0,2.20
10,超时,0,2.19

总分：10
有效用时：0.46



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,0,0.01

总分：0
有效用时：0.01

" 2012-1-29 18:52:08"
