"在 2012-1-25 的竞赛"

"名称：hqz_RelabelToFront+gap+initlabel"
总得分：400
有效用时：5.93



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.01
8,正确,10,0.03
9,正确,10,0.01
10,正确,10,0.01

总分：100
有效用时：0.12



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.03
3,正确,10,0.03
4,正确,10,0.07
5,正确,10,0.12
6,正确,10,0.15
7,正确,10,0.20
8,正确,10,0.28
9,正确,10,0.32
10,正确,10,0.42

总分：100
有效用时：1.63



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.03
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.01
8,正确,10,0.01
9,正确,10,0.03
10,正确,10,0.03

总分：100
有效用时：0.16



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.06
2,正确,10,0.12
3,正确,10,0.21
4,正确,10,0.40
5,正确,10,0.50
6,正确,10,0.54
7,正确,10,0.46
8,正确,10,0.62
9,正确,10,0.57
10,正确,10,0.53

总分：100
有效用时：4.01



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,0,0.01

总分：0
有效用时：0.01

" 2012-1-29 18:52:08"
