"在 2012-1-25 的竞赛"

"名称：hqz_RelabelToFront+gap"
总得分：330
有效用时：4.81



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.25
8,正确,10,0.09
9,正确,10,0.01
10,正确,10,0.01

总分：100
有效用时：0.42



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.03
3,正确,10,0.06
4,正确,10,0.07
5,正确,10,0.10
6,正确,10,0.17
7,正确,10,0.21
8,正确,10,0.29
9,正确,10,0.35
10,正确,10,0.45

总分：100
有效用时：1.74



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.03
5,正确,10,0.03
6,正确,10,0.03
7,正确,10,0.03
8,正确,10,0.03
9,正确,10,0.04
10,正确,10,0.06

总分：100
有效用时：0.30



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.18
2,正确,10,0.56
3,正确,10,1.60
4,超时,0,2.20
5,超时,0,2.02
6,超时,0,2.03
7,超时,0,2.17
8,超时,0,2.02
9,超时,0,2.20
10,超时,0,2.19

总分：30
有效用时：2.34



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,0,0.01

总分：0
有效用时：0.01

" 2012-1-29 18:52:08"
