"在 2012-1-25 的竞赛"

"名称：hqz_dfs网络流"
总得分：100
有效用时：2.20



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.12
6,正确,10,0.10
7,超时,0,2.02
8,超时,0,2.03
9,正确,10,0.98
10,正确,10,0.01

总分：80
有效用时：1.25



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.60
2,超时,0,2.03
3,超时,0,2.02
4,超时,0,2.03
5,超时,0,2.02
6,超时,0,2.02
7,超时,0,2.02
8,超时,0,2.19
9,超时,0,2.16
10,超时,0,2.11

总分：10
有效用时：0.60



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.35
2,超时,0,2.20
3,超时,0,2.02
4,超时,0,2.02
5,超时,0,2.02
6,超时,0,2.02
7,超时,0,2.02
8,超时,0,2.20
9,超时,0,2.02
10,超时,0,2.02

总分：10
有效用时：0.35



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,超时,0,2.03
2,崩溃,0,0.01
3,崩溃,0,0.01
4,崩溃,0,0.03
5,崩溃,0,0.01
6,崩溃,0,0.01
7,崩溃,0,0.01
8,崩溃,0,0.03
9,崩溃,0,0.01
10,崩溃,0,0.01

总分：0
有效用时：0.00



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时

总分：0
有效用时：0.00

" 2012-1-29 18:52:08"
