"在 2012-1-25 的竞赛"

"名称：hqz_dinic"
总得分：400
有效用时：7.05



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.03
8,正确,10,0.04
9,正确,10,0.03
10,正确,10,0.01

总分：100
有效用时：0.17



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.03
3,正确,10,0.04
4,正确,10,0.06
5,正确,10,0.10
6,正确,10,0.15
7,正确,10,0.20
8,正确,10,0.25
9,正确,10,0.32
10,正确,10,0.42

总分：100
有效用时：1.58



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.03
6,正确,10,0.01
7,正确,10,0.01
8,正确,10,0.01
9,正确,10,0.03
10,正确,10,0.03

总分：100
有效用时：0.16



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.07
2,正确,10,0.14
3,正确,10,0.20
4,正确,10,0.54
5,正确,10,0.65
6,正确,10,0.64
7,正确,10,0.53
8,正确,10,0.90
9,正确,10,0.79
10,正确,10,0.67

总分：100
有效用时：5.13



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,0,0.01

总分：0
有效用时：0.01

" 2012-1-29 18:52:08"
