"在 2012-1-25 的竞赛"

"名称：hqz_sap+gap(邻接矩阵)"
总得分：310
有效用时：2.15



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.06
8,正确,10,0.06
9,正确,10,0.01
10,正确,10,0.01

总分：100
有效用时：0.20



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.03
3,正确,10,0.04
4,正确,10,0.07
5,正确,10,0.14
6,正确,10,0.17
7,正确,10,0.21
8,正确,10,0.25
9,正确,10,0.34
10,正确,10,0.37

总分：100
有效用时：1.65



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.03
6,正确,10,0.01
7,正确,10,0.04
8,正确,10,0.01
9,正确,10,0.04
10,正确,10,0.04

总分：100
有效用时：0.21



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.09
2,崩溃,0,0.01
3,崩溃,0,0.01
4,崩溃,0,0.01
5,崩溃,0,0.01
6,崩溃,0,0.01
7,崩溃,0,0.01
8,崩溃,0,0.01
9,崩溃,0,0.03
10,崩溃,0,0.01

总分：10
有效用时：0.09



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时

总分：0
有效用时：0.00

" 2012-1-29 18:52:08"
