"在 2012-1-25 的竞赛"

"名称：hqz_sap邻接表(No gap)"
总得分：310
有效用时：5.16



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.01
7,正确,10,0.01
8,正确,10,1.09
9,正确,10,0.03
10,正确,10,0.03

总分：100
有效用时：1.22



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.10
3,正确,10,0.34
4,正确,10,0.07
5,正确,10,0.10
6,超时,0,2.02
7,正确,10,0.18
8,正确,10,0.25
9,正确,10,0.32
10,超时,0,2.02

总分：80
有效用时：1.39



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.03
5,正确,10,0.20
6,正确,10,0.21
7,正确,10,0.03
8,正确,10,0.01
9,正确,10,0.03
10,正确,10,0.76

总分：100
有效用时：1.30



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,超时,0,2.05
2,正确,10,0.12
3,超时,0,2.03
4,超时,0,2.03
5,超时,0,2.03
6,超时,0,2.03
7,正确,10,0.53
8,超时,0,2.20
9,超时,0,2.05
10,正确,10,0.60

总分：30
有效用时：1.25



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时

总分：0
有效用时：0.00

" 2012-1-29 18:52:08"
