"在 2012-1-25 的竞赛"

"名称：hqz_最小费用最大流+dfs"
总得分：180
有效用时：3.85



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.03
5,正确,10,0.01
6,正确,10,0.14
7,正确,10,0.03
8,正确,10,0.50
9,正确,10,0.03
10,正确,10,0.01

总分：100
有效用时：0.78



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.46
2,超时,0,2.03
3,超时,0,2.03
4,超时,0,2.05
5,超时,0,2.20
6,超时,0,2.03
7,超时,0,2.05
8,崩溃,0,0.23
9,崩溃,0,0.21
10,崩溃,0,0.21

总分：10
有效用时：0.46



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.20
3,正确,10,0.20
4,正确,10,0.67
5,超时,0,2.05
6,正确,10,0.79
7,正确,10,0.46
8,正确,10,0.26
9,超时,0,2.05
10,超时,0,2.05

总分：70
有效用时：2.61



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,超时,0,2.05
2,超时,0,2.05
3,超时,0,2.05
4,崩溃,0,0.20
5,崩溃,0,0.23
6,崩溃,0,0.25
7,崩溃,0,0.25
8,崩溃,0,0.23
9,崩溃,0,0.23
10,崩溃,0,0.25

总分：0
有效用时：0.00



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时

总分：0
有效用时：0.00

" 2012-1-29 18:52:08"
