"在 2012-1-25 的竞赛"

"名称：hqz_最小费用最大流"
总得分：180
有效用时：3.41



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.03
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.12
7,正确,10,0.03
8,正确,10,0.45
9,正确,10,0.03
10,正确,10,0.03

总分：100
有效用时：0.73



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.37
2,超时,0,2.06
3,超时,0,2.03
4,超时,0,2.17
5,超时,0,2.05
6,超时,0,2.05
7,超时,0,2.05
8,崩溃,0,0.26
9,崩溃,0,0.23
10,崩溃,0,0.20

总分：10
有效用时：0.37



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.14
3,正确,10,0.15
4,正确,10,0.71
5,超时,0,2.05
6,正确,10,0.76
7,正确,10,0.40
8,正确,10,0.14
9,超时,0,2.03
10,超时,0,2.02

总分：70
有效用时：2.31



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,超时,0,2.05
2,超时,0,2.05
3,超时,0,2.05
4,崩溃,0,0.21
5,崩溃,0,0.25
6,崩溃,0,0.25
7,崩溃,0,0.26
8,崩溃,0,0.23
9,崩溃,0,0.23
10,崩溃,0,0.23

总分：0
有效用时：0.00



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时

总分：0
有效用时：0.00

" 2012-1-29 18:52:08"
