"在 2012-1-25 的竞赛"

"名称：zhjshar1_ditch"
总得分：290
有效用时：8.65



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.01
5,正确,10,0.01
6,正确,10,0.03
7,正确,10,0.75
8,正确,10,0.67
9,正确,10,0.01
10,正确,10,0.01

总分：100
有效用时：1.52



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.06
3,正确,10,0.12
4,正确,10,0.26
5,正确,10,0.45
6,正确,10,0.76
7,正确,10,1.06
8,正确,10,1.51
9,超时,0,2.19
10,超时,0,2.19

总分：80
有效用时：4.23



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.03
4,正确,10,0.04
5,正确,10,0.12
6,正确,10,0.12
7,正确,10,0.15
8,正确,10,0.18
9,正确,10,0.28
10,正确,10,0.62

总分：100
有效用时：1.56



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,1.34
2,崩溃,0,0.15
3,崩溃,0,0.17
4,崩溃,0,0.01
5,崩溃,0,0.01
6,崩溃,0,0.01
7,崩溃,0,0.01
8,崩溃,0,0.01
9,崩溃,0,0.01
10,崩溃,0,0.01

总分：10
有效用时：1.34



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时

总分：0
有效用时：0.00

" 2012-1-29 18:52:08"
