"在 2012-1-25 的竞赛"

"名称：zkw费用流"
总得分：180
有效用时：4.69



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.01
2,正确,10,0.01
3,正确,10,0.01
4,正确,10,0.03
5,正确,10,0.03
6,正确,10,0.17
7,正确,10,0.01
8,正确,10,0.53
9,正确,10,0.03
10,正确,10,0.03

总分：100
有效用时：0.86



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.76
2,超时,0,2.03
3,超时,0,2.03
4,超时,0,2.02
5,超时,0,2.02
6,超时,0,2.19
7,超时,0,2.02
8,崩溃,0,0.20
9,崩溃,0,0.20
10,崩溃,0,0.20

总分：10
有效用时：0.76



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.04
2,正确,10,0.21
3,正确,10,0.20
4,正确,10,0.71
5,超时,0,2.03
6,正确,10,1.03
7,正确,10,0.56
8,正确,10,0.32
9,超时,0,2.02
10,超时,0,2.11

总分：70
有效用时：3.07



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,超时,0,2.05
2,崩溃,0,0.40
3,崩溃,0,0.51
4,崩溃,0,0.21
5,崩溃,0,0.25
6,崩溃,0,0.23
7,崩溃,0,0.28
8,崩溃,0,0.26
9,崩溃,0,0.29
10,崩溃,0,0.26

总分：0
有效用时：0.00



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时

总分：0
有效用时：0.00

" 2012-1-29 18:52:08"
