"在 2012-1-25 的竞赛"

"名称：广搜"
总得分：280
有效用时：8.02



"标题：ditch"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.03
3,正确,10,0.01
4,正确,10,0.03
5,正确,10,0.03
6,正确,10,0.03
7,正确,10,0.32
8,正确,10,0.40
9,正确,10,0.04
10,正确,10,0.03

总分：100
有效用时：0.95



"标题：ditch_稠密图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.07
3,正确,10,0.15
4,正确,10,0.40
5,正确,10,0.71
6,正确,10,1.15
7,正确,10,1.78
8,超时,0,2.05
9,超时,0,2.05
10,超时,0,2.20

总分：70
有效用时：4.29



"标题：ditch_稀疏图"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.04
3,正确,10,0.03
4,正确,10,0.07
5,正确,10,0.17
6,正确,10,0.18
7,正确,10,0.17
8,正确,10,0.17
9,正确,10,0.34
10,正确,10,0.54

总分：100
有效用时：1.74



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时
1,正确,10,1.04
2,崩溃,0,0.12
3,崩溃,0,0.17
4,崩溃,0,0.01
5,崩溃,0,0.01
6,崩溃,0,0.01
7,崩溃,0,0.01
8,崩溃,0,0.01
9,崩溃,0,0.03
10,崩溃,0,0.01

总分：10
有效用时：1.04



"标题：small"
"文件名：ditch\ditch.cpp"

编号,结果,得分,有效用时

总分：0
有效用时：0.00

" 2012-1-29 18:52:08"
