"在 2012-1-25 的竞赛"

"名称：网络流sap+gap_pas_ydl非递归"
总得分：400
有效用时：6.63



"标题：ditch"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.03
3,正确,10,0.01
4,正确,10,0.03
5,正确,10,0.03
6,正确,10,0.04
7,正确,10,0.03
8,正确,10,0.04
9,正确,10,0.01
10,正确,10,0.03

总分：100
有效用时：0.28



"标题：ditch_稠密图"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.04
2,正确,10,0.04
3,正确,10,0.04
4,正确,10,0.09
5,正确,10,0.12
6,正确,10,0.17
7,正确,10,0.20
8,正确,10,0.25
9,正确,10,0.35
10,正确,10,0.45

总分：100
有效用时：1.75



"标题：ditch_稀疏图"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.03
2,正确,10,0.03
3,正确,10,0.01
4,正确,10,0.04
5,正确,10,0.04
6,正确,10,0.04
7,正确,10,0.04
8,正确,10,0.03
9,正确,10,0.04
10,正确,10,0.03

总分：100
有效用时：0.33



"标题：ditch_稀疏图big"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,10,0.10
2,正确,10,0.14
3,正确,10,0.21
4,正确,10,0.42
5,正确,10,0.43
6,正确,10,0.59
7,正确,10,0.56
8,正确,10,0.62
9,正确,10,0.53
10,正确,10,0.64

总分：100
有效用时：4.24



"标题：small"
"文件名：ditch\ditch.pas"

编号,结果,得分,有效用时
1,正确,0,0.03

总分：0
有效用时：0.03

" 2012-1-29 18:52:08"
